count,gazeX,gazeY,pitch,roll,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,eulerX,eulerY,eulerZ,faceX,faceY,leftEyeleft,leftEyetop,leftEyeright,leftEyebottom,rightEyeleft,rightEyetop,rightEyeright,rightEyebottom
898,161,369,-23.727732,11.867655,0.0166790634393692,0.023031452670693398,0.002133141504600644,1.872322916984558,8.719948768615723,4.0487189292907715,-5.0034213,4.6100206,-6.8059306,476.25,776.25,638.25,201.2,501.75,618.0,413.25,211.2,276.75,655.5
899,161,369,-23.704517,11.870347,-0.09083322435617447,-0.0502723753452301,-0.016192816197872162,1.9633053541183472,8.717555046081543,3.6752119064331055,-4.7123137,4.561643,-7.105651,476.25,776.25,633.75,200.0,502.5,618.75,409.5,210.7,273.0,653.625
900,161,284,-23.1164,12.716858,-0.015696793794631958,0.04380086809396744,-0.0027537806890904903,2.1213274002075195,8.78219985961914,3.8308396339416504,-6.0957704,5.085057,-6.812959,498.75,759.375,656.25,197.5,525.0,609.375,435.75,207.2,299.25,640.5
901,161,284,-23.34018,12.677503,-0.008366410620510578,0.027307508513331413,-0.007029836997389793,1.9417568445205688,8.743891716003418,4.03195858001709,-5.4164333,3.2514513,-5.8422437,508.125,759.375,660.0,197.5,528.75,609.375,435.75,207.2,299.25,640.5
902,161,284,-23.429644,12.658145,1.857030438259244E-4,0.010203282348811626,-0.01374935545027256,2.0207679271698,8.717555046081543,3.9577362537384033,-5.8494177,3.5796227,-6.3865952,502.5,761.25,656.25,198.5,525.0,613.125,431.25,207.0,300.0,645.0
903,161,284,-23.459873,12.619619,-0.021805446594953537,-0.0032357533928006887,-0.018025411292910576,2.0351336002349854,8.71276569366455,3.7925312519073486,-5.1709576,4.399365,-6.6054583,498.75,761.25,656.25,198.5,525.0,613.125,431.25,207.0,300.0,645.0
904,161,284,-23.500664,12.54867,-0.11404609680175781,-0.06432227790355682,-0.014360220171511173,2.0327394008636475,8.734314918518066,3.624932050704956,-5.8622212,5.292009,-6.590308,496.875,761.25,652.5,199.0,521.25,615.0,427.5,208.0,296.25,648.75
905,917,1559,-14.143781,6.5042963,0.05516357347369194,-0.12479793280363083,0.02473515458405018,0.9768640995025635,9.426259994506836,2.609759569168091,-6.571697,5.969563,-12.081353,440.625,596.25,593.25,154.7,456.75,443.625,364.5,169.7,228.0,499.875
906,917,1559,-14.076955,6.53952,-0.07495072484016418,0.04929865524172783,-0.012527624145150185,1.1420691013336182,9.335277557373047,2.2242813110351562,-5.5823402,5.6830344,-12.366328,440.625,603.75,593.25,155.7,456.75,447.375,364.5,170.7,228.0,503.625
907,917,1559,-14.036449,6.521091,-0.008366410620510578,0.002262033987790346,-0.020468872040510178,1.1708003282546997,9.390345573425293,2.26019549369812,-6.753161,6.4084096,-12.335863,446.25,596.25,597.0,155.7,460.5,447.375,368.25,170.2,231.75,501.75
908,917,1559,-13.939318,6.601046,0.04661146178841591,-0.0026248879730701447,0.0015222762012854218,1.1468576192855835,9.419076919555664,2.423006057739258,-7.1870337,6.1599493,-12.372654,446.25,596.25,596.25,154.5,465.0,448.125,372.0,170.2,235.5,501.75
909,917,1559,-13.98713,6.560875,0.03867021203041077,-0.0753178521990776,-0.0021429152693599463,1.0582695007324219,9.411893844604492,2.5522968769073486,-6.107424,5.6895995,-12.210277,440.625,603.75,597.0,155.7,460.5,447.375,368.25,170.2,231.75,501.75
910,701,794,-12.125381,9.20933,-0.040131404995918274,0.10061133652925491,-0.03390790894627571,1.6448668241500854,9.433443069458008,2.049499273300171,-6.522124,3.2442157,-10.082192,538.125,566.25,695.25,142.4,553.5,392.25,458.25,156.2,321.75,449.25
911,701,794,-12.202491,9.107188,0.042335402220487595,-0.06737659871578217,0.022291693836450577,1.4676904678344727,9.433443069458008,2.1811842918395996,-7.1329956,4.3311877,-10.2737055,534.375,566.25,695.25,143.4,553.5,396.0,459.0,157.9,317.25,450.375
912,701,794,-12.1082535,9.12607,-0.02669236809015274,0.030361834913492203,-0.009473297744989395,1.6017698049545288,9.37119197845459,1.733454942703247,-6.0987625,3.9560177,-10.703273,534.375,566.25,690.75,142.7,554.25,398.625,459.0,157.9,317.25,450.375
913,701,794,-12.1725,9.098394,0.01973339170217514,0.007759821601212025,-0.03757310286164284,1.599375605583191,9.445414543151855,2.135693073272705,-5.3424335,4.3632007,-10.59643,534.375,566.25,690.75,142.7,554.25,398.625,459.0,157.9,317.25,450.375
914,701,794,-12.153347,9.074745,0.001407433534041047,-0.03866593539714813,0.029011212289333344,1.501210331916809,9.435836791992188,2.0854134559631348,-5.5170436,4.59508,-10.324208,534.375,566.25,694.5,143.2,558.0,400.5,462.75,157.4,321.0,448.5
915,917,1559,-14.819487,2.6814938,0.0166790634393692,-0.031335555016994476,-0.010695028118789196,0.5004034638404846,9.440625190734863,2.4421603679656982,-9.453473,0.0783037,-2.4412954,405.0,639.375,618.75,173.5,435.0,466.875,323.25,178.7,134.25,481.125
916,917,1559,-14.890837,2.6247315,-0.04746178537607193,-0.16572590172290802,-0.008862433023750782,0.42139238119125366,9.40231704711914,2.633702278137207,-10.7010565,-0.044160508,-2.3270383,410.625,639.375,625.5,174.8,447.0,477.0,334.5,180.2,145.5,486.75
917,917,1559,-14.734229,2.7623441,0.01545733492821455,0.020587991923093796,-0.015581951476633549,0.4908263385295868,9.414288520812988,2.389486312866211,-8.992346,-2.750854,-1.2107058,405.0,639.375,621.75,174.8,443.25,477.0,330.75,180.2,141.75,486.75
918,917,1559,-14.749094,2.645732,0.0722678005695343,-0.0905894860625267,-3.103195340372622E-4,0.45730647444725037,9.450202941894531,2.6839821338653564,-9.566897,-3.2405624,-1.4538071,418.125,639.375,633.0,173.8,454.5,473.25,338.25,179.7,149.25,484.875
919,917,1559,-14.570253,2.7037895,0.04050280898809433,0.21667572855949402,0.0045766024850308895,0.4357580244541168,9.40231704711914,2.2793495655059814,-10.2475815,-0.9635523,-1.8874816,410.625,639.375,640.5,174.8,462.0,477.0,349.5,179.7,160.5,484.875
920,593,879,-15.366879,2.3516407,-0.06151168793439865,-0.06859833747148514,0.03511986508965492,0.35674694180488586,9.399923324584961,2.4349775314331055,-9.736465,0.9915089,-4.8550043,472.5,633.75,668.25,170.7,505.5,477.375,396.0,179.1,222.75,498.37497
